state,district,latitude,longitude
Kerala,Alappuzha,9.404304290459365,76.44868925406361
Kerala,Ernakulam,10.121855368641285,76.42678155504011
Kerala,Idukki,9.85335892804054,76.99176238648649
Kerala,Kannur,12.030205277690287,75.57103514041995
Kerala,Kasaragod,12.455356796051502,75.11510748175967
Kerala,Kollam,8.975343741144414,76.75185989482289
Kerala,Kottayam,10.707971406685159,76.59947973385528
Kerala,Kozhikode,11.455275198207335,75.80767036080415
Kerala,Malappuram,11.251442995412845,76.1036636547477
Kerala,Palakkad,12.350295777189514,76.26350777514395
Kerala,Pathanamthitta,9.342696459044369,76.74801311262799
Kerala,Thiruvananthapuram,8.747925327966101,76.95401940590799
Kerala,Thrissur,10.4221863666,76.2166859564
Kerala,Wayanad,11.699130724110429,75.71315870815951
Ladakh,Kargil,34.64320946511628,76.81228478139535
Ladakh,Leh Ladakh,38.10467679268293,72.35956238780487
Lakshadweep,Lakshadweep District,10.794574,72.886769
Madhya Pradesh,Agar Malwa,23.743309249275363,77.22269177826087
Madhya Pradesh,Alirajpur,22.201364347058824,74.31884775147059
Madhya Pradesh,Anuppur,23.193165591538463,81.55422513846155
Madhya Pradesh,Ashoknagar,24.617405530831405,77.80629987798741
Madhya Pradesh,Balaghat,21.82832814,80.250441515
Madhya Pradesh,Barwani,21.859614984172186,75.09227089331125
Madhya Pradesh,Betul,22.328935134196723,77.79669082426228
Madhya Pradesh,Bhind,26.440358377606177,78.7455944934363
Madhya Pradesh,Bhopal,23.39438756921986,548935.6137194269
Madhya Pradesh,Burhanpur,21.454469497746476,76.32599218042255
Madhya Pradesh,Chhatarpur,25.70080474750958,79.63872728199235
Madhya Pradesh,Chhindwara,22.384435431829573,78.87431623654135
Madhya Pradesh,Damoh,23.77792503446602,79.5153312276699
Madhya Pradesh,Datia,26.194162595714285,78.02582089
Madhya Pradesh,Dewas,24.140999394312797,75.14119254654028
Madhya Pradesh,Dhar,23.970655580232556,75.28470803410852
Madhya Pradesh,Dindori,24.606314798483147,80.49918614837078
Madhya Pradesh,East Nimar,1312625.0172444542,4314520.124765103
Madhya Pradesh,Guna,24.53665676937664,77.20813801226994
Madhya Pradesh,Gwalior,27.293392112865494,76.97580413274854
Madhya Pradesh,Harda,22.270834439999998,77.06664002
Madhya Pradesh,Hoshangabad,22.65689814166667,77.85927273333333
Madhya Pradesh,Indore,23.909054434756097,75.09066294390244
Madhya Pradesh,Jabalpur,24.665533175935828,78.42438858502673
Madhya Pradesh,Jhabua,22.82885592978723,74.68113930638297
Madhya Pradesh,Katni,23.71604712814371,80.318416248503
Madhya Pradesh,Khargone,22.296794674545456,75.50678134590909
Madhya Pradesh,Mandla,24.83897787174515,76.16633809614957
Madhya Pradesh,Mandsaur,24.044301149457013,75.40468556737557
Madhya Pradesh,Morena,26.501442506372552,77.72717510833334
Madhya Pradesh,Narsinghpur,22.90005305,78.95673605
Madhya Pradesh,Neemuch,24.547165989333333,75.0165475497037
Madhya Pradesh,Niwari,30.005467660714285,74.06336844642858
Madhya Pradesh,Panna,25.58088608888889,78.93066200196077
Madhya Pradesh,Raisen,24.30402587470356,77.59873540948615
Madhya Pradesh,Rajgarh,25.16343805219388,75.06329713591836
Madhya Pradesh,Ratlam,23.477474111827956,75.13569758924731
Madhya Pradesh,Rewa,24.883114125074627,80.94915248567163
Madhya Pradesh,Sagar,23.881646997411003,78.54810211262136
Madhya Pradesh,Satna,24.545724470666666,81.26414248666666
Madhya Pradesh,Sehore,23.978779305913978,76.50083056935485
Madhya Pradesh,Seoni,22.5333427125,79.4722318
